Case,Benchmark_Sweep,Seed,Variation,K,Directional,Topo,Head,Seconds,Val_Pooled_F1,Val_Pooled_PRAUC,Val_Macro_F1,Val_Macro_PRAUC,OOT_Pooled_F1,OOT_Pooled_PRAUC,OOT_Macro_F1,OOT_Macro_PRAUC
val_macro_champion,"Grid: K=1, Dir=F, Topo=late (Seed 44, Var Base)",44,Base,1,False,late,previous_mlp_head,9.227,0.885,0.943,0.832,0.892,0.467,0.337,0.269,0.255
val_macro_champion,"Grid: K=1, Dir=F, Topo=late (Seed 44, Var Base)",44,Base,1,False,late,deep_residual_small_ln_silu,58.85,0.883412,0.858103,0.840563,0.836204,0.356535,0.201901,0.214389,0.210676
val_pooled_champion,"Grid: K=2, Dir=T, Topo=late (Seed 44, Var PCA)",44,PCA,2,True,late,previous_mlp_head,10.5,0.871,0.949,0.804,0.867,0.394,0.35,0.206,0.265
val_pooled_champion,"Grid: K=2, Dir=T, Topo=late (Seed 44, Var PCA)",44,PCA,2,True,late,deep_residual_small_ln_silu,61.137,0.869352,0.869245,0.795497,0.83687,0.365488,0.323686,0.20158,0.25237
