Sweep,Static Time (s),Static Mem (MB),Static OOT F1,Static OOT PR-AUC,WF Time (s),WF Mem (MB),Walk-Forward Mean F1,Walk-Forward Mean PR-AUC
Sweep 3 (PCA 99%),50.943,75.51,0.655,0.632,N/A,N/A,N/A,N/A
Sweep 4 (PCA 99%),45.247,1.13,0.65,0.68,N/A,N/A,N/A,N/A
Sweep 5 (PCA 99%),56.838,1.13,0.558,0.531,N/A,N/A,N/A,N/A
