Head,Hidden_Dims,Parameters,Cost_per_Epoch_ms,Total_200_Epochs_s
Small,"(128, 64)",73410,110.16758437501267,22.033516875002533
Large,"(512, 256, 128)",424834,410.34099812444765,82.06819962488953
