Sweep,Representation,tau,n_illicit,n_matched,seed,mmd2,perm_p,separable,Low_Confidence
BB: Label-Cond Separability Raw-vs-Prop,Raw,5,8,8,8,0.053820657765313085,0.04495504495504495,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,5,8,8,9,0.10051881772620908,0.005994005994005994,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,6,5,5,0,0.1717465609997778,0.15884115884115885,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,6,5,5,1,0.07897451009358636,0.3856143856143856,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,6,5,5,2,0.1316351168938913,0.3006993006993007,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,6,5,5,3,0.0668089827014281,0.34465534465534464,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,6,5,5,4,0.1036497282369071,0.3076923076923077,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,6,5,5,5,0.047834160471820875,0.42157842157842157,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,6,5,5,6,0.06734887663749123,0.2937062937062937,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,6,5,5,7,0.06884292439074935,0.4085914085914086,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,6,5,5,8,0.1319569153955602,0.2787212787212787,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,6,5,5,9,0.11010544983804393,0.34565434565434566,0,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,7,102,102,0,0.15243925081093623,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,7,102,102,1,0.14650829943094523,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,7,102,102,2,0.1345298927439489,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,7,102,102,3,0.13641631062622728,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,7,102,102,4,0.12466604089118727,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,7,102,102,5,0.15101202039857387,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,7,102,102,6,0.19032155858468736,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,7,102,102,7,0.14846818039956644,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,7,102,102,8,0.17783916888443474,0.000999000999000999,1,0
