Seed,Variation,Sweep,Feature_Set,SGC_K,Multiscale_Prop,Directionality,Topological_Injection,Decay_Lambda,Threshold_Method,Static_Time_s,Static_Mem_MB,Static_Val_Pooled_F1,Static_Val_Pooled_PRAUC,Static_Val_Macro_F1,Static_Val_Macro_PRAUC,Static_OOT_Pooled_F1,Static_OOT_Pooled_PRAUC,Static_OOT_Macro_F1,Static_OOT_Macro_PRAUC,WF_Time_s,WF_Mem_MB,WF_Pooled_F1,WF_Pooled_PRAUC,WF_Macro_F1,WF_Macro_PRAUC,WF_Pre43_Pooled_F1,WF_Pre43_PRAUC,WF_Shock_F1,WF_Shock_PRAUC,WF_Recovery_Pooled_F1,WF_Recovery_PRAUC,Selfcond_Bug,Notes
42,Base,"Sweep 1: SGC (baseline) K=1, Topo=early",N/A,1,False,False,early,N/A,0.5,1.218,1.67,0.505,0.431,0.468,0.443,0.179,0.122,0.187,0.149,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Sweep 1: SGC (baseline) K=2, Topo=None",N/A,2,False,False,None,N/A,0.5,1.01,1.69,0.515,0.472,0.485,0.496,0.22,0.181,0.213,0.192,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Sweep 1: SGC (baseline) K=2, Topo=late",N/A,2,False,False,late,N/A,0.5,1.201,1.69,0.505,0.465,0.48,0.53,0.206,0.17,0.202,0.185,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Sweep 1: SGC (baseline) K=2, Topo=early",N/A,2,False,False,early,N/A,0.5,1.212,1.69,0.511,0.464,0.484,0.498,0.218,0.179,0.213,0.194,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Sweep 1: SGC (baseline) K=3, Topo=None",N/A,3,False,False,None,N/A,0.5,0.975,1.69,0.51,0.486,0.474,0.502,0.212,0.172,0.203,0.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Sweep 1: SGC (baseline) K=3, Topo=late",N/A,3,False,False,late,N/A,0.5,1.174,1.69,0.49,0.466,0.464,0.514,0.197,0.151,0.195,0.167,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Sweep 1: SGC (baseline) K=3, Topo=early",N/A,3,False,False,early,N/A,0.5,1.652,1.69,0.504,0.483,0.471,0.499,0.217,0.169,0.211,0.181,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
43,Base,"Sweep 1: SGC (baseline) K=1, Topo=None",N/A,1,False,False,None,N/A,0.5,1.098,1.66,0.504,0.409,0.471,0.441,0.175,0.118,0.184,0.143,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
43,Base,"Sweep 1: SGC (baseline) K=1, Topo=late",N/A,1,False,False,late,N/A,0.5,1.381,1.67,0.497,0.42,0.478,0.475,0.171,0.117,0.179,0.147,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
43,Base,"Sweep 1: SGC (baseline) K=1, Topo=early",N/A,1,False,False,early,N/A,0.5,1.529,1.67,0.506,0.432,0.469,0.445,0.18,0.124,0.187,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
