Seed,Variation,Sweep,Feature_Set,SGC_K,Multiscale_Prop,Directionality,Topological_Injection,Decay_Lambda,Threshold_Method,Static_Time_s,Static_Mem_MB,Static_Val_Pooled_F1,Static_Val_Pooled_PRAUC,Static_Val_Macro_F1,Static_Val_Macro_PRAUC,Static_OOT_Pooled_F1,Static_OOT_Pooled_PRAUC,Static_OOT_Macro_F1,Static_OOT_Macro_PRAUC,WF_Time_s,WF_Mem_MB,WF_Pooled_F1,WF_Pooled_PRAUC,WF_Macro_F1,WF_Macro_PRAUC,WF_Pre43_Pooled_F1,WF_Pre43_PRAUC,WF_Shock_F1,WF_Shock_PRAUC,WF_Recovery_Pooled_F1,WF_Recovery_PRAUC,Selfcond_Bug,Notes
42,PCA,"Grid: K=1, Dir=F, Topo=late",N/A,1,True,False,late,N/A,0.5,7.928,1.47,0.863,0.931,0.804,0.862,0.347,0.282,0.199,0.245,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"Grid: K=1, Dir=F, Topo=early",N/A,1,True,False,early,N/A,0.5,8.454,1.51,0.873,0.874,0.825,0.843,0.331,0.3,0.182,0.247,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"Grid: K=1, Dir=T, Topo=None",N/A,1,True,True,None,N/A,0.5,8.343,1.43,0.874,0.939,0.837,0.855,0.358,0.253,0.195,0.204,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"Grid: K=1, Dir=T, Topo=late",N/A,1,True,True,late,N/A,0.5,7.724,1.46,0.857,0.873,0.796,0.821,0.369,0.306,0.205,0.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"Grid: K=1, Dir=T, Topo=early",N/A,1,True,True,early,N/A,0.5,7.836,1.43,0.876,0.882,0.823,0.836,0.43,0.337,0.246,0.266,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"Grid: K=2, Dir=F, Topo=None",N/A,2,True,False,None,N/A,0.5,7.706,1.5,0.87,0.932,0.81,0.857,0.439,0.397,0.25,0.329,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"Grid: K=2, Dir=F, Topo=late",N/A,2,True,False,late,N/A,0.5,7.758,1.48,0.859,0.912,0.815,0.848,0.4,0.384,0.233,0.297,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"Grid: K=2, Dir=F, Topo=early",N/A,2,True,False,early,N/A,0.5,8.578,1.52,0.856,0.915,0.768,0.817,0.297,0.271,0.171,0.225,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"Grid: K=2, Dir=T, Topo=None",N/A,2,True,True,None,N/A,0.5,9.758,1.46,0.851,0.909,0.79,0.839,0.362,0.316,0.198,0.254,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"Grid: K=2, Dir=T, Topo=late",N/A,2,True,True,late,N/A,0.5,10.266,1.41,0.86,0.939,0.782,0.831,0.357,0.34,0.197,0.272,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"Grid: K=2, Dir=T, Topo=early",N/A,2,True,True,early,N/A,0.5,10.187,1.44,0.858,0.937,0.815,0.864,0.421,0.472,0.226,0.311,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"Grid: K=3, Dir=F, Topo=None",N/A,3,True,False,None,N/A,0.5,9.926,1.5,0.845,0.909,0.796,0.831,0.484,0.378,0.283,0.319,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"Grid: K=3, Dir=F, Topo=late",N/A,3,True,False,late,N/A,0.5,9.409,1.51,0.848,0.906,0.796,0.83,0.437,0.375,0.244,0.295,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"Grid: K=3, Dir=F, Topo=early",N/A,3,True,False,early,N/A,0.5,9.369,1.49,0.829,0.82,0.777,0.797,0.396,0.381,0.236,0.324,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"Grid: K=3, Dir=T, Topo=None",N/A,3,True,True,None,N/A,0.5,12.565,1.49,0.858,0.927,0.819,0.871,0.489,0.441,0.282,0.329,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"Grid: K=3, Dir=T, Topo=late",N/A,3,True,True,late,N/A,0.5,14.072,1.47,0.838,0.92,0.773,0.831,0.485,0.434,0.279,0.298,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"Grid: K=3, Dir=T, Topo=early",N/A,3,True,True,early,N/A,0.5,12.311,1.47,0.882,0.944,0.828,0.876,0.359,0.386,0.184,0.288,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=early",Prop-N,2,False,False,early,N/A,τ-1 calibrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.293,533.53,0.329,0.304,0.304,0.308,0.516,0.448,0.01,0.016,0.1,0.048,fixed,
42,Base,"WF Champion: Sweep 1: SGC (baseline) K=3, Topo=early",Prop-N,3,False,False,early,N/A,τ-1 calibrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.366,541.51,0.299,0.288,0.266,0.272,0.485,0.416,0.01,0.016,0.082,0.045,fixed,
42,Base,"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=None",Prop-N,2,False,False,None,N/A,τ-1 calibrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.713,439.35,0.338,0.307,0.309,0.291,0.535,0.463,0.016,0.015,0.095,0.046,fixed,
42,Base,"WF Champion: NoMP Grid: K=3, Dir=F, Topo=None",Prop-N,3,False,False,None,N/A,τ-1 calibrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.913,439.36,0.571,0.637,0.403,0.446,0.669,0.751,0.0,0.022,0.243,0.077,fixed,
42,Base,"WF Champion: NoMP Grid: K=2, Dir=F, Topo=None",Prop-N,2,False,False,None,N/A,τ-1 calibrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,139.604,439.37,0.53,0.624,0.408,0.447,0.731,0.772,0.013,0.017,0.105,0.077,fixed,
42,Base,"WF Champion: NoMP Grid: K=3, Dir=F, Topo=early",Prop-N,3,False,False,early,N/A,τ-1 calibrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,128.849,550.36,0.612,0.622,0.403,0.414,0.688,0.731,0.0,0.024,0.351,0.067,fixed,
42,Base,"WF Champion: Grid: K=2, Dir=F, Topo=early",Prop-N,2,True,False,early,N/A,τ-1 calibrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,143.253,1004.72,0.662,0.698,0.489,0.507,0.813,0.795,0.0,0.037,0.247,0.087,fixed,
42,Base,"WF Champion: Grid: K=2, Dir=T, Topo=None",Prop-N,2,True,True,None,N/A,τ-1 calibrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,184.899,1836.03,0.664,0.697,0.442,0.511,0.766,0.804,0.0,0.033,0.175,0.096,fixed,
42,Base,"WF Champion: Grid: K=3, Dir=F, Topo=late",Prop-N,3,True,False,late,N/A,τ-1 calibrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,140.917,1164.77,0.649,0.673,0.472,0.477,0.783,0.766,0.0,0.032,0.262,0.102,fixed,
42,Base,"WF Champion: Grid: K=3, Dir=T, Topo=early",Prop-N,3,True,True,early,N/A,τ-1 calibrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,372.818,2655.99,0.668,0.718,0.446,0.516,0.755,0.827,0.0,0.028,0.221,0.097,fixed,
42,Base,"WF Champion: Grid: K=2, Dir=T, Topo=late",Prop-N,2,True,True,late,N/A,τ-1 calibrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,355.545,1860.71,0.702,0.732,0.437,0.495,0.78,0.827,0.0,0.048,0.192,0.115,fixed,
42,PCA,"WF Champion: NoMP Grid: K=2, Dir=F, Topo=early",Prop-N,2,False,False,early,N/A,τ-1 calibrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82.206,589.88,0.4,0.586,0.413,0.471,0.674,0.742,0.0,0.015,0.114,0.064,fixed,
42,PCA,"WF Champion: NoMP Grid: K=3, Dir=F, Topo=None",Prop-N,3,False,False,None,N/A,τ-1 calibrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.685,495.04,0.524,0.591,0.387,0.416,0.608,0.693,0.0,0.022,0.32,0.097,fixed,
42,PCA,"WF Champion: Grid: K=3, Dir=F, Topo=None",Prop-N,3,True,False,None,N/A,τ-1 calibrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,96.75,1366.94,0.684,0.707,0.46,0.507,0.781,0.827,0.0,0.025,0.265,0.081,fixed,
42,PCA,"WF Champion: Grid: K=3, Dir=T, Topo=None",Prop-N,3,True,True,None,N/A,τ-1 calibrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,145.411,3138.81,0.626,0.583,0.432,0.452,0.721,0.671,0.0,0.055,0.235,0.063,fixed,
42,PCA,"WF Champion: Grid: K=3, Dir=T, Topo=late",Prop-N,3,True,True,late,N/A,τ-1 calibrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,128.099,3166.67,0.657,0.7,0.442,0.52,0.744,0.809,0.0,0.033,0.269,0.076,fixed,
42,Base,"WF Champion: Grid: K=3, Dir=T, Topo=None",Prop-N,3,True,True,None,N/A,τ-1 calibrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,397.327,2534.31,0.572,0.696,0.399,0.467,0.727,0.815,0.044,0.035,0.09,0.068,fixed,
42,PCA,"WF Champion: Grid: K=2, Dir=F, Topo=None",Prop-N,2,True,False,None,N/A,τ-1 calibrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90.478,1075.25,0.682,0.684,0.466,0.489,0.78,0.794,0.0,0.023,0.255,0.078,fixed,
42,PCA,"Ablation: IPCA on Grid: K=3, Dir=F, Topo=None",IPCA Multiscale (144-dim),N/A,N/A,N/A,N/A,N/A,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,175.566,N/A,0.5902,0.7423,0.4624,0.4924,0.7964,0.8556,0.0,0.0245,0.1782,0.0735,fixed,
42,Base,Ablation: Decay λ=0.05 on XGBoost,Raw-165 (no ts) + exp-decay,N/A,False,False,None,0.05,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.075,88.77,0.8462,0.8886,0.6628,0.7033,0.9111,0.9382,0.0,0.164,0.5405,0.5122,fixed,
42,Base,Ablation: Decay λ=0.25 on XGBoost,Raw-165 (no ts) + exp-decay,N/A,False,False,None,0.25,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.292,88.73,0.8307,0.8789,0.6432,0.7197,0.8907,0.9315,0.1538,0.3056,0.4876,0.4256,fixed,
42,Base,Ablation: Decay λ=0.5 on XGBoost,Raw-165 (no ts) + exp-decay,N/A,False,False,None,0.5,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.433,88.73,0.8364,0.87,0.6743,0.7186,0.8842,0.9255,0.1538,0.3185,0.6036,0.4078,fixed,
42,Base,"Ablation: Decay λ=0.05 on Sweep 1: SGC (baseline) K=2, Topo=None",Decay Multiscale (165-dim),2,False,False,None,0.05,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.244,0.26,0.3314,0.3212,0.3384,0.3106,0.5546,0.5095,0.0159,0.0151,0.1044,0.0438,fixed,
42,Base,"Ablation: Decay λ=0.25 on Sweep 1: SGC (baseline) K=2, Topo=None",Decay Multiscale (165-dim),2,False,False,None,0.25,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.172,0.26,0.4188,0.3363,0.3656,0.3523,0.5951,0.5575,0.0116,0.0169,0.1896,0.0655,fixed,
42,Base,"Ablation: Decay λ=0.5 on Sweep 1: SGC (baseline) K=2, Topo=None",Decay Multiscale (165-dim),2,False,False,None,0.5,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.04,0.26,0.4258,0.3419,0.3857,0.3681,0.5846,0.5488,0.0319,0.0191,0.2123,0.0896,fixed,
42,PCA,"Ablation: Decay λ=0.05 on NoMP Grid: K=2, Dir=F, Topo=early",Decay Multiscale (66-dim),2,False,False,early,0.05,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.099,0.42,0.5633,0.5951,0.4104,0.4323,0.6857,0.7358,0.029,0.0153,0.2187,0.0557,fixed,
42,PCA,"Ablation: Decay λ=0.25 on NoMP Grid: K=2, Dir=F, Topo=early",Decay Multiscale (66-dim),2,False,False,early,0.25,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.609,0.28,0.2926,0.5095,0.394,0.4454,0.6547,0.7,0.0,0.0148,0.0584,0.0588,fixed,
42,PCA,"Ablation: Decay λ=0.5 on NoMP Grid: K=2, Dir=F, Topo=early",Decay Multiscale (66-dim),2,False,False,early,0.5,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.542,0.28,0.475,0.5411,0.396,0.4333,0.6396,0.6802,0.0206,0.0184,0.173,0.0939,fixed,
42,PCA,"Ablation: IPCA on NoMP Grid: K=2, Dir=F, Topo=early",IPCA Multiscale (66-dim),2,False,False,early,N/A,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,154.146,N/A,0.5151,0.5838,0.3974,0.433,0.6955,0.7547,0.0,0.0138,0.1431,0.0554,fixed,
42,PCA,"Ablation: IPCA on NoMP Grid: K=3, Dir=F, Topo=None",IPCA Multiscale (63-dim),3,False,False,None,N/A,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,150.963,N/A,0.5645,0.5729,0.3658,0.3989,0.6475,0.6715,0.0,0.0263,0.2798,0.0722,fixed,
42,PCA,"Ablation: IPCA on Grid: K=3, Dir=T, Topo=None",IPCA Multiscale (262-dim),3,True,True,None,N/A,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,306.632,N/A,0.6801,0.7061,0.4409,0.4918,0.7832,0.8209,0.075,0.0308,0.1667,0.0685,fixed,
42,PCA,"Ablation: IPCA on Grid: K=3, Dir=T, Topo=late",IPCA Multiscale (263-dim),3,True,True,late,N/A,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,229.519,N/A,0.6221,0.6772,0.4329,0.4612,0.7501,0.7909,0.0,0.0255,0.1718,0.0657,fixed,
42,PCA,"Ablation: IPCA on Grid: K=2, Dir=F, Topo=None",IPCA Multiscale (141-dim),2,True,False,None,N/A,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,161.452,N/A,0.7024,0.7351,0.4585,0.5017,0.7984,0.8417,0.0,0.0319,0.2674,0.0871,fixed,
42,Base,"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=early",Decay Multiscale (501-dim),2,True,False,early,0.05,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48.617,0.26,0.7163,0.6734,0.4644,0.4824,0.8036,0.7702,0.0,0.0311,0.2437,0.0797,fixed,
42,Base,"Ablation: Decay λ=0.25 on Grid: K=2, Dir=F, Topo=early",Decay Multiscale (501-dim),2,True,False,early,0.25,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49.084,0.26,0.6946,0.7201,0.464,0.501,0.7983,0.8174,0.0,0.0293,0.2622,0.1069,fixed,
42,Base,"Ablation: Decay λ=0.5 on Grid: K=2, Dir=F, Topo=early",Decay Multiscale (501-dim),2,True,False,early,0.5,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.017,0.26,0.6558,0.7152,0.465,0.5046,0.7725,0.817,0.0741,0.0347,0.2588,0.1035,fixed,
42,Base,"Ablation: Decay λ=0.05 on Sweep 1: SGC (baseline) K=2, Topo=early",Decay Multiscale (167-dim),2,False,False,early,0.05,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.291,82.63,0.3486,0.3208,0.3367,0.3115,0.5598,0.502,0.0158,0.0154,0.1163,0.0457,fixed,
42,Base,"Ablation: Decay λ=0.25 on Sweep 1: SGC (baseline) K=2, Topo=early",Decay Multiscale (167-dim),2,False,False,early,0.25,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.208,0.26,0.4334,0.3332,0.3611,0.3492,0.6059,0.5586,0.0112,0.017,0.2077,0.0576,fixed,
42,Base,"Ablation: Decay λ=0.5 on Sweep 1: SGC (baseline) K=2, Topo=early",Decay Multiscale (167-dim),2,False,False,early,0.5,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.262,0.26,0.4206,0.3295,0.3863,0.3548,0.5867,0.5459,0.0262,0.0189,0.2088,0.0612,fixed,
42,Base,"Ablation: Decay λ=0.05 on Sweep 1: SGC (baseline) K=3, Topo=early",Decay Multiscale (167-dim),3,False,False,early,0.05,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.502,0.26,0.327,0.3139,0.3196,0.3086,0.5298,0.4863,0.0082,0.0156,0.1164,0.0485,fixed,
42,Base,"Ablation: Decay λ=0.25 on Sweep 1: SGC (baseline) K=3, Topo=early",Decay Multiscale (167-dim),3,False,False,early,0.25,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.99,0.26,0.4224,0.3355,0.3785,0.3366,0.5895,0.5327,0.0156,0.0186,0.196,0.0631,fixed,
42,Base,"Ablation: Decay λ=0.5 on Sweep 1: SGC (baseline) K=3, Topo=early",Decay Multiscale (167-dim),3,False,False,early,0.5,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.019,0.26,0.3987,0.3223,0.368,0.3306,0.5961,0.5084,0.0316,0.0215,0.1613,0.0619,fixed,
42,PCA,"Ablation: Decay λ=0.05 on NoMP Grid: K=3, Dir=F, Topo=None",Decay Multiscale (63-dim),3,False,False,None,0.05,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.804,0.28,0.5886,0.5996,0.4163,0.4273,0.6679,0.705,0.0,0.0184,0.3357,0.0907,fixed,
42,PCA,"Ablation: Decay λ=0.25 on NoMP Grid: K=3, Dir=F, Topo=None",Decay Multiscale (63-dim),3,False,False,None,0.25,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.148,0.28,0.5113,0.5284,0.3836,0.4146,0.5875,0.6254,0.0851,0.0306,0.2664,0.1009,fixed,
42,PCA,"Ablation: Decay λ=0.5 on NoMP Grid: K=3, Dir=F, Topo=None",Decay Multiscale (63-dim),3,False,False,None,0.5,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.646,0.28,0.4443,0.5364,0.3324,0.4051,0.5906,0.6299,0.0702,0.0288,0.1054,0.1225,fixed,
42,Base,"Ablation: Decay λ=0.05 on NoMP Grid: K=3, Dir=F, Topo=None",Decay Multiscale (165-dim),3,False,False,None,0.05,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.172,0.28,0.5391,0.5974,0.372,0.4085,0.6643,0.7036,0.0263,0.0229,0.1535,0.0807,fixed,
42,Base,"Ablation: Decay λ=0.25 on NoMP Grid: K=3, Dir=F, Topo=None",Decay Multiscale (165-dim),3,False,False,None,0.25,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.553,0.28,0.5695,0.6125,0.4086,0.4511,0.6528,0.7019,0.0526,0.0428,0.3211,0.1333,fixed,
42,Base,"Ablation: Decay λ=0.5 on NoMP Grid: K=3, Dir=F, Topo=None",Decay Multiscale (165-dim),3,False,False,None,0.5,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.157,0.27,0.6003,0.606,0.4249,0.4302,0.6474,0.6962,0.1471,0.0898,0.4557,0.1667,fixed,
42,Base,"Ablation: Decay λ=0.05 on NoMP Grid: K=2, Dir=F, Topo=None",Decay Multiscale (165-dim),2,False,False,None,0.05,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.974,0.27,0.5839,0.6424,0.4224,0.4685,0.725,0.7828,0.0143,0.0168,0.2189,0.0878,fixed,
42,Base,"Ablation: Decay λ=0.25 on NoMP Grid: K=2, Dir=F, Topo=None",Decay Multiscale (165-dim),2,False,False,None,0.25,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.105,0.28,0.5711,0.6152,0.4169,0.4588,0.7209,0.7721,0.0125,0.0241,0.1583,0.1082,fixed,
42,Base,"Ablation: Decay λ=0.5 on NoMP Grid: K=2, Dir=F, Topo=None",Decay Multiscale (165-dim),2,False,False,None,0.5,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.167,0.27,0.5803,0.5836,0.442,0.4683,0.6981,0.7122,0.0476,0.0329,0.2302,0.1287,fixed,
42,Base,"Ablation: Decay λ=0.05 on NoMP Grid: K=3, Dir=F, Topo=early",Decay Multiscale (167-dim),3,False,False,early,0.05,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.507,0.27,0.5981,0.6119,0.3838,0.4155,0.7007,0.7061,0.0541,0.0791,0.1477,0.0721,fixed,
42,Base,"Ablation: Decay λ=0.25 on NoMP Grid: K=3, Dir=F, Topo=early",Decay Multiscale (167-dim),3,False,False,early,0.25,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.768,0.28,0.5988,0.5845,0.3987,0.4331,0.6663,0.6871,0.0,0.0323,0.3171,0.0802,fixed,
42,Base,"Ablation: Decay λ=0.5 on NoMP Grid: K=3, Dir=F, Topo=early",Decay Multiscale (167-dim),3,False,False,early,0.5,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.706,0.28,0.5872,0.5727,0.4043,0.4161,0.6416,0.6587,0.0952,0.0356,0.3631,0.1097,fixed,
42,PCA,"Ablation: Decay λ=0.05 on Grid: K=3, Dir=F, Topo=None",Decay Multiscale (144-dim),3,True,False,None,0.05,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.537,0.27,0.6816,0.7242,0.4405,0.4977,0.7729,0.8228,0.0,0.0485,0.2105,0.1044,fixed,
42,PCA,"Ablation: Decay λ=0.25 on Grid: K=3, Dir=F, Topo=None",Decay Multiscale (144-dim),3,True,False,None,0.25,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.322,0.27,0.643,0.7277,0.461,0.5101,0.7699,0.8233,0.0,0.0272,0.2412,0.124,fixed,
42,PCA,"Ablation: Decay λ=0.5 on Grid: K=3, Dir=F, Topo=None",Decay Multiscale (144-dim),3,True,False,None,0.5,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.422,0.27,0.6985,0.7063,0.4596,0.5129,0.7493,0.7912,0.0,0.0311,0.4354,0.1736,fixed,
42,PCA,"Ablation: Decay λ=0.05 on Grid: K=3, Dir=T, Topo=None",Decay Multiscale (262-dim),3,True,True,None,0.05,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55.862,0.26,0.6622,0.6958,0.4646,0.5238,0.7328,0.7974,0.0667,0.0577,0.3567,0.1091,fixed,
42,PCA,"Ablation: Decay λ=0.25 on Grid: K=3, Dir=T, Topo=None",Decay Multiscale (262-dim),3,True,True,None,0.25,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.935,0.27,0.6614,0.7101,0.4256,0.503,0.7166,0.8077,0.0455,0.0539,0.3927,0.1398,fixed,
42,PCA,"Ablation: Decay λ=0.5 on Grid: K=3, Dir=T, Topo=None",Decay Multiscale (262-dim),3,True,True,None,0.5,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.893,0.27,0.6448,0.6882,0.4343,0.5084,0.719,0.7907,0.1143,0.0692,0.2517,0.0983,fixed,
42,PCA,"Ablation: Decay λ=0.05 on Grid: K=3, Dir=T, Topo=late",Decay Multiscale (263-dim),3,True,True,late,0.05,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.254,0.26,0.6402,0.6876,0.4364,0.4724,0.7277,0.786,0.2143,0.177,0.2036,0.0757,fixed,
42,PCA,"Ablation: Decay λ=0.25 on Grid: K=3, Dir=T, Topo=late",Decay Multiscale (263-dim),3,True,True,late,0.25,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69.61,0.26,0.6819,0.6901,0.4421,0.4805,0.7491,0.7916,0.0,0.0289,0.3045,0.1001,fixed,
42,PCA,"Ablation: Decay λ=0.5 on Grid: K=3, Dir=T, Topo=late",Decay Multiscale (263-dim),3,True,True,late,0.5,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.464,0.27,0.6532,0.709,0.447,0.5172,0.7097,0.7927,0.0769,0.0934,0.3487,0.2211,fixed,
42,Base,"Ablation: Decay λ=0.05 on Grid: K=2, Dir=T, Topo=None",Decay Multiscale (1155-dim),2,True,True,None,0.05,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,318.691,0.25,0.692,0.6622,0.465,0.5129,0.7789,0.7532,0.0,0.0296,0.2712,0.108,fixed,
