Sweep,WF_F1,WF_PRAUC
Sweep 1 Hybrid (Base SGC),0.7029914529914529,0.7599691875521247
Sweep 3 Hybrid (Multiscale),0.8330749354005168,0.885757751274399
Sweep 4 Hybrid (Topo Early),0.8430262480699948,0.8869080164149153
Sweep 4 Hybrid (Topo Late),0.833764888658726,0.8871216812444359
Sweep 5 Hybrid (Directional Late),0.8386092371562014,0.8844463752657706
