Sweep,Variation,tau,seed,shuffle_flag,M,beta0_total_pers,beta1_total_pers,beta1_max_life,pers_entropy_h0,pers_entropy_h1,wasserstein_h0_to_next,wasserstein_h1_to_next,wasserstein_combined_to_next,mmd2_to_next,Low_Confidence
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,48,0,0,800,,,,,,,,,0.010643362998962402,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,1,1,0,800,,,,,,,,,0.006242632865905762,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,2,1,0,800,,,,,,,,,0.010118603706359863,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,3,1,0,800,,,,,,,,,0.016236066818237305,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,4,1,0,800,,,,,,,,,0.009503841400146484,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,5,1,0,800,,,,,,,,,0.022480487823486328,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,6,1,0,800,,,,,,,,,0.02047109603881836,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,7,1,0,800,,,,,,,,,0.010282635688781738,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,8,1,0,800,,,,,,,,,0.0105820894241333,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,9,1,0,800,,,,,,,,,0.00841665267944336,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,10,1,0,800,,,,,,,,,0.007800459861755371,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,11,1,0,800,,,,,,,,,0.009017467498779297,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,12,1,0,800,,,,,,,,,0.011169075965881348,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,13,1,0,800,,,,,,,,,0.00904393196105957,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,14,1,0,800,,,,,,,,,0.007007479667663574,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,15,1,0,800,,,,,,,,,0.0017157793045043945,0
