Sweep,Variation,Static_Val_Pooled_F1_mean,Static_Val_Pooled_F1_std,Static_Val_Pooled_PRAUC_mean,Static_Val_Pooled_PRAUC_std,Static_Val_Macro_F1_mean,Static_Val_Macro_F1_std,Static_Val_Macro_PRAUC_mean,Static_Val_Macro_PRAUC_std,Static_OOT_Pooled_F1_mean,Static_OOT_Pooled_F1_std,Static_OOT_Pooled_PRAUC_mean,Static_OOT_Pooled_PRAUC_std,Static_OOT_Macro_F1_mean,Static_OOT_Macro_F1_std,Static_OOT_Macro_PRAUC_mean,Static_OOT_Macro_PRAUC_std,WF_Pooled_F1_mean,WF_Pooled_F1_std,WF_Pooled_PRAUC_mean,WF_Pooled_PRAUC_std,WF_Macro_F1_mean,WF_Macro_F1_std,WF_Macro_PRAUC_mean,WF_Macro_PRAUC_std,WF_Pre43_Pooled_F1_mean,WF_Pre43_Pooled_F1_std,WF_Pre43_PRAUC_mean,WF_Pre43_PRAUC_std,WF_Shock_F1_mean,WF_Shock_F1_std,WF_Shock_PRAUC_mean,WF_Shock_PRAUC_std,WF_Recovery_Pooled_F1_mean,WF_Recovery_Pooled_F1_std,WF_Recovery_PRAUC_mean,WF_Recovery_PRAUC_std,Feature_Set,SGC_K,Multiscale_Prop,Directionality,Topological_Injection,Decay_Lambda,Threshold_Method
"Ablation: Decay λ=0.05 on Sweep 1: SGC (baseline) K=2, Topo=early",Base,,,,,,,,,,,,,,,,,0.3486,,0.3208,,0.3367,,0.3115,,0.5598,,0.502,,0.0158,,0.0154,,0.1163,,0.0457,,Decay Multiscale (167-dim),2,False,False,early,0.05,epsilon-fallback
"Ablation: Decay λ=0.05 on Sweep 1: SGC (baseline) K=3, Topo=early",Base,,,,,,,,,,,,,,,,,0.327,,0.3139,,0.3196,,0.3086,,0.5298,,0.4863,,0.0082,,0.0156,,0.1164,,0.0485,,Decay Multiscale (167-dim),3,False,False,early,0.05,epsilon-fallback
Ablation: Decay λ=0.05 on XGBoost,Base,,,,,,,,,,,,,,,,,0.8462,,0.8886,,0.6628,,0.7033,,0.9111,,0.9382,,0.0,,0.164,,0.5405,,0.5122,,Raw-165 (no ts) + exp-decay,N/A,False,False,None,0.05,epsilon-fallback
"Ablation: Decay λ=0.25 on Grid: K=2, Dir=F, Topo=None",PCA,,,,,,,,,,,,,,,,,0.6313,,0.7529,,0.4783,,0.529,,0.7952,,0.8462,,0.0,,0.0265,,0.1911,,0.1637,,Decay Multiscale (141-dim),2,True,False,None,0.25,epsilon-fallback
"Ablation: Decay λ=0.25 on Grid: K=2, Dir=F, Topo=early",Base,,,,,,,,,,,,,,,,,0.6946,,0.7201,,0.464,,0.501,,0.7983,,0.8174,,0.0,,0.0293,,0.2622,,0.1069,,Decay Multiscale (501-dim),2,True,False,early,0.25,epsilon-fallback
"Ablation: Decay λ=0.25 on Grid: K=2, Dir=T, Topo=None",Base,,,,,,,,,,,,,,,,,0.7352,,0.7507,,0.5006,,0.547,,0.8056,,0.8497,,0.0,,0.0293,,0.3851,,0.1275,,Decay Multiscale (1155-dim),2,True,True,None,0.25,epsilon-fallback
"Ablation: Decay λ=0.25 on Grid: K=2, Dir=T, Topo=late",Base,,,,,,,,,,,,,,,,,0.7325,,0.7774,,0.5273,,0.585,,0.7947,,0.8544,,0.1176,,0.0827,,0.4472,,0.2415,,Decay Multiscale (1157-dim),2,True,True,late,0.25,epsilon-fallback
"Ablation: Decay λ=0.25 on Grid: K=3, Dir=F, Topo=None",PCA,,,,,,,,,,,,,,,,,0.643,,0.7277,,0.461,,0.5101,,0.7699,,0.8233,,0.0,,0.0272,,0.2412,,0.124,,Decay Multiscale (144-dim),3,True,False,None,0.25,epsilon-fallback
"Ablation: Decay λ=0.25 on Grid: K=3, Dir=F, Topo=late",Base,,,,,,,,,,,,,,,,,0.7085,,0.7613,,0.487,,0.5377,,0.7976,,0.8603,,0.0345,,0.0272,,0.3333,,0.1717,,Decay Multiscale (662-dim),3,True,False,late,0.25,epsilon-fallback
"Ablation: Decay λ=0.25 on Grid: K=3, Dir=T, Topo=None",Base,,,,,,,,,,,,,,,,,0.6922,,0.7497,,0.4771,,0.5347,,0.7831,,0.8478,,0.0385,,0.0266,,0.3952,,0.1783,,Decay Multiscale (1650-dim),3,True,True,None,0.25,epsilon-fallback
