Sweep,Variation,Static_Val_Pooled_F1_mean,Static_Val_Pooled_F1_std,Static_Val_Pooled_PRAUC_mean,Static_Val_Pooled_PRAUC_std,Static_Val_Macro_F1_mean,Static_Val_Macro_F1_std,Static_Val_Macro_PRAUC_mean,Static_Val_Macro_PRAUC_std,Static_OOT_Pooled_F1_mean,Static_OOT_Pooled_F1_std,Static_OOT_Pooled_PRAUC_mean,Static_OOT_Pooled_PRAUC_std,Static_OOT_Macro_F1_mean,Static_OOT_Macro_F1_std,Static_OOT_Macro_PRAUC_mean,Static_OOT_Macro_PRAUC_std,WF_Pooled_F1_mean,WF_Pooled_F1_std,WF_Pooled_PRAUC_mean,WF_Pooled_PRAUC_std,WF_Macro_F1_mean,WF_Macro_F1_std,WF_Macro_PRAUC_mean,WF_Macro_PRAUC_std,WF_Pre43_Pooled_F1_mean,WF_Pre43_Pooled_F1_std,WF_Pre43_PRAUC_mean,WF_Pre43_PRAUC_std,WF_Shock_F1_mean,WF_Shock_F1_std,WF_Shock_PRAUC_mean,WF_Shock_PRAUC_std,WF_Recovery_Pooled_F1_mean,WF_Recovery_Pooled_F1_std,WF_Recovery_PRAUC_mean,WF_Recovery_PRAUC_std,Feature_Set,SGC_K,Multiscale_Prop,Directionality,Topological_Injection,Decay_Lambda,Threshold_Method
"Grid: K=1, Dir=T, Topo=late",Base,0.865,,0.932,,0.79,,0.839,,0.41,,0.323,,0.23,,0.234,,,,,,,,,,,,,,,,,,,,,,N/A,1,True,True,late,N/A,0.5
"Grid: K=1, Dir=T, Topo=late",PCA,0.857,,0.873,,0.796,,0.821,,0.369,,0.306,,0.205,,0.24,,,,,,,,,,,,,,,,,,,,,,N/A,1,True,True,late,N/A,0.5
"Grid: K=2, Dir=F, Topo=None",Base,0.859,,0.876,,0.807,,0.838,,0.436,,0.385,,0.24,,0.29,,,,,,,,,,,,,,,,,,,,,,N/A,2,True,False,None,N/A,0.5
"Grid: K=2, Dir=F, Topo=None",PCA,0.87,,0.932,,0.81,,0.857,,0.439,,0.397,,0.25,,0.329,,,,,,,,,,,,,,,,,,,,,,N/A,2,True,False,None,N/A,0.5
"Grid: K=2, Dir=F, Topo=early",Base,0.823,,0.888,,0.774,,0.84,,0.553,,0.53,,0.322,,0.392,,,,,,,,,,,,,,,,,,,,,,N/A,2,True,False,early,N/A,0.5
"Grid: K=2, Dir=F, Topo=early",PCA,0.856,,0.915,,0.768,,0.817,,0.297,,0.271,,0.171,,0.225,,,,,,,,,,,,,,,,,,,,,,N/A,2,True,False,early,N/A,0.5
"Grid: K=2, Dir=F, Topo=late",Base,0.856,,0.85,,0.822,,0.864,,0.345,,0.265,,0.19,,0.213,,,,,,,,,,,,,,,,,,,,,,N/A,2,True,False,late,N/A,0.5
"Grid: K=2, Dir=F, Topo=late",PCA,0.859,,0.912,,0.815,,0.848,,0.4,,0.384,,0.233,,0.297,,,,,,,,,,,,,,,,,,,,,,N/A,2,True,False,late,N/A,0.5
"Grid: K=2, Dir=T, Topo=None",Base,0.841,,0.919,,0.794,,0.879,,0.455,,0.509,,0.262,,0.361,,,,,,,,,,,,,,,,,,,,,,N/A,2,True,True,None,N/A,0.5
"Grid: K=2, Dir=T, Topo=None",PCA,0.851,,0.909,,0.79,,0.839,,0.362,,0.316,,0.198,,0.254,,,,,,,,,,,,,,,,,,,,,,N/A,2,True,True,None,N/A,0.5
"Grid: K=2, Dir=T, Topo=early",Base,0.872,,0.91,,0.82,,0.871,,0.463,,0.494,,0.248,,0.317,,,,,,,,,,,,,,,,,,,,,,N/A,2,True,True,early,N/A,0.5
"Grid: K=2, Dir=T, Topo=early",PCA,0.858,,0.937,,0.815,,0.864,,0.421,,0.472,,0.226,,0.311,,,,,,,,,,,,,,,,,,,,,,N/A,2,True,True,early,N/A,0.5
"Grid: K=2, Dir=T, Topo=late",Base,0.846,,0.89,,0.788,,0.849,,0.465,,0.47,,0.257,,0.322,,,,,,,,,,,,,,,,,,,,,,N/A,2,True,True,late,N/A,0.5
"Grid: K=2, Dir=T, Topo=late",PCA,0.86,,0.939,,0.782,,0.831,,0.357,,0.34,,0.197,,0.272,,,,,,,,,,,,,,,,,,,,,,N/A,2,True,True,late,N/A,0.5
"Grid: K=3, Dir=F, Topo=None",Base,0.788,,0.789,,0.69,,0.743,,0.16,,0.204,,0.101,,0.199,,,,,,,,,,,,,,,,,,,,,,N/A,3,True,False,None,N/A,0.5
"Grid: K=3, Dir=F, Topo=None",PCA,0.845,,0.909,,0.796,,0.831,,0.484,,0.378,,0.283,,0.319,,,,,,,,,,,,,,,,,,,,,,N/A,3,True,False,None,N/A,0.5
"Grid: K=3, Dir=F, Topo=early",Base,0.843,,0.892,,0.815,,0.844,,0.415,,0.364,,0.242,,0.278,,,,,,,,,,,,,,,,,,,,,,N/A,3,True,False,early,N/A,0.5
"Grid: K=3, Dir=F, Topo=early",PCA,0.829,,0.82,,0.777,,0.797,,0.396,,0.381,,0.236,,0.324,,,,,,,,,,,,,,,,,,,,,,N/A,3,True,False,early,N/A,0.5
"Grid: K=3, Dir=F, Topo=late",Base,0.865,,0.918,,0.832,,0.868,,0.454,,0.386,,0.26,,0.3,,,,,,,,,,,,,,,,,,,,,,N/A,3,True,False,late,N/A,0.5
"Grid: K=3, Dir=F, Topo=late",PCA,0.848,,0.906,,0.796,,0.83,,0.437,,0.375,,0.244,,0.295,,,,,,,,,,,,,,,,,,,,,,N/A,3,True,False,late,N/A,0.5
"Grid: K=3, Dir=T, Topo=None",Base,0.85,,0.927,,0.795,,0.851,,0.45,,0.494,,0.252,,0.333,,,,,,,,,,,,,,,,,,,,,,N/A,3,True,True,None,N/A,0.5
"Grid: K=3, Dir=T, Topo=None",PCA,0.858,,0.927,,0.819,,0.871,,0.489,,0.441,,0.282,,0.329,,,,,,,,,,,,,,,,,,,,,,N/A,3,True,True,None,N/A,0.5
"Grid: K=3, Dir=T, Topo=early",Base,0.872,,0.941,,0.799,,0.851,,0.447,,0.44,,0.26,,0.296,,,,,,,,,,,,,,,,,,,,,,N/A,3,True,True,early,N/A,0.5
"Grid: K=3, Dir=T, Topo=early",PCA,0.882,,0.944,,0.828,,0.876,,0.359,,0.386,,0.184,,0.288,,,,,,,,,,,,,,,,,,,,,,N/A,3,True,True,early,N/A,0.5
"Grid: K=3, Dir=T, Topo=late",Base,0.842,,0.927,,0.767,,0.827,,0.378,,0.39,,0.195,,0.249,,,,,,,,,,,,,,,,,,,,,,N/A,3,True,True,late,N/A,0.5
"Grid: K=3, Dir=T, Topo=late",PCA,0.838,,0.92,,0.773,,0.831,,0.485,,0.434,,0.279,,0.298,,,,,,,,,,,,,,,,,,,,,,N/A,3,True,True,late,N/A,0.5
"NoMP Grid: K=1, Dir=F, Topo=None",Base,0.813,,0.903,,0.743,,0.81,,0.326,,0.325,,0.184,,0.261,,,,,,,,,,,,,,,,,,,,,,N/A,1,False,False,None,N/A,0.5
"NoMP Grid: K=1, Dir=F, Topo=None",PCA,0.823,,0.906,,0.76,,0.821,,0.395,,0.419,,0.231,,0.321,,,,,,,,,,,,,,,,,,,,,,N/A,1,False,False,None,N/A,0.5
"NoMP Grid: K=1, Dir=F, Topo=early",Base,0.851,,0.933,,0.793,,0.839,,0.382,,0.394,,0.217,,0.295,,,,,,,,,,,,,,,,,,,,,,N/A,1,False,False,early,N/A,0.5
"NoMP Grid: K=1, Dir=F, Topo=early",PCA,0.814,,0.903,,0.758,,0.814,,0.418,,0.462,,0.238,,0.333,,,,,,,,,,,,,,,,,,,,,,N/A,1,False,False,early,N/A,0.5
"NoMP Grid: K=1, Dir=F, Topo=late",Base,0.829,,0.925,,0.74,,0.828,,0.186,,0.328,,0.086,,0.264,,,,,,,,,,,,,,,,,,,,,,N/A,1,False,False,late,N/A,0.5
"NoMP Grid: K=1, Dir=F, Topo=late",PCA,0.821,,0.914,,0.755,,0.82,,0.398,,0.406,,0.224,,0.298,,,,,,,,,,,,,,,,,,,,,,N/A,1,False,False,late,N/A,0.5
"NoMP Grid: K=2, Dir=F, Topo=None",Base,0.805,,0.874,,0.769,,0.814,,0.421,,0.395,,0.244,,0.327,,,,,,,,,,,,,,,,,,,,,,N/A,2,False,False,None,N/A,0.5
"NoMP Grid: K=2, Dir=F, Topo=None",PCA,0.809,,0.891,,0.738,,0.783,,0.416,,0.385,,0.233,,0.332,,,,,,,,,,,,,,,,,,,,,,N/A,2,False,False,None,N/A,0.5
"NoMP Grid: K=2, Dir=F, Topo=early",Base,0.839,,0.9,,0.762,,0.811,,0.33,,0.34,,0.198,,0.299,,,,,,,,,,,,,,,,,,,,,,N/A,2,False,False,early,N/A,0.5
"NoMP Grid: K=2, Dir=F, Topo=early",PCA,0.817,,0.906,,0.752,,0.807,,0.48,,0.488,,0.27,,0.392,,,,,,,,,,,,,,,,,,,,,,N/A,2,False,False,early,N/A,0.5
"NoMP Grid: K=2, Dir=F, Topo=late",Base,0.83,,0.904,,0.746,,0.79,,0.104,,0.19,,0.058,,0.177,,,,,,,,,,,,,,,,,,,,,,N/A,2,False,False,late,N/A,0.5
"NoMP Grid: K=2, Dir=F, Topo=late",PCA,0.798,,0.891,,0.714,,0.803,,0.282,,0.338,,0.163,,0.295,,,,,,,,,,,,,,,,,,,,,,N/A,2,False,False,late,N/A,0.5
"NoMP Grid: K=3, Dir=F, Topo=None",Base,0.804,,0.886,,0.742,,0.817,,0.418,,0.417,,0.245,,0.331,,,,,,,,,,,,,,,,,,,,,,N/A,3,False,False,None,N/A,0.5
"NoMP Grid: K=3, Dir=F, Topo=None",PCA,0.806,,0.885,,0.745,,0.799,,0.433,,0.382,,0.248,,0.296,,,,,,,,,,,,,,,,,,,,,,N/A,3,False,False,None,N/A,0.5
"NoMP Grid: K=3, Dir=F, Topo=early",Base,0.805,,0.869,,0.746,,0.792,,0.381,,0.322,,0.238,,0.293,,,,,,,,,,,,,,,,,,,,,,N/A,3,False,False,early,N/A,0.5
"NoMP Grid: K=3, Dir=F, Topo=early",PCA,0.777,,0.887,,0.704,,0.791,,0.376,,0.309,,0.236,,0.292,,,,,,,,,,,,,,,,,,,,,,N/A,3,False,False,early,N/A,0.5
"NoMP Grid: K=3, Dir=F, Topo=late",Base,0.83,,0.907,,0.73,,0.795,,0.251,,0.345,,0.16,,0.284,,,,,,,,,,,,,,,,,,,,,,N/A,3,False,False,late,N/A,0.5
"NoMP Grid: K=3, Dir=F, Topo=late",PCA,0.822,,0.903,,0.739,,0.812,,0.323,,0.391,,0.191,,0.307,,,,,,,,,,,,,,,,,,,,,,N/A,3,False,False,late,N/A,0.5
"Sweep 1: SGC (baseline) K=1, Topo=None",Base,0.5036666666666667,0.0005773502691896423,0.4096666666666666,0.0011547005383792486,0.4713333333333333,0.0005773502691896304,0.44133333333333336,0.0015275252316519542,0.17600000000000002,0.0010000000000000009,0.118,0.0009999999999999992,0.18499999999999997,0.0010000000000000009,0.1433333333333333,0.0015275252316519518,,,,,,,,,,,,,,,,,,,,,N/A,1,False,False,None,N/A,0.5
"Sweep 1: SGC (baseline) K=1, Topo=early",Base,0.5053333333333333,0.0005773502691896262,0.43166666666666664,0.0005773502691896304,0.4676666666666667,0.0015275252316519269,0.4443333333333333,0.0011547005383792486,0.17966666666666664,0.0005773502691896243,0.12333333333333334,0.0011547005383792516,0.18699999999999997,0.0,0.14966666666666664,0.0005773502691896243,,,,,,,,,,,,,,,,,,,,,N/A,1,False,False,early,N/A,0.5
"Sweep 1: SGC (baseline) K=1, Topo=late",Base,0.498,0.0010000000000000009,0.41966666666666663,0.0005773502691896304,0.47833333333333333,0.0005773502691896183,0.4756666666666667,0.0011547005383792605,0.17133333333333334,0.0005773502691896103,0.11666666666666668,0.0005773502691896273,0.17966666666666664,0.0005773502691896243,0.14666666666666664,0.0005773502691896243,,,,,,,,,,,,,,,,,,,,,N/A,1,False,False,late,N/A,0.5
"Sweep 1: SGC (baseline) K=2, Topo=None",Base,0.5136666666666666,0.002309401076758521,0.47,0.003464101615137718,0.48299999999999993,0.0020000000000000018,0.49300000000000005,0.0036055512754639926,0.21866666666666668,0.0011547005383792546,0.18033333333333332,0.0011547005383792486,0.212,0.0010000000000000009,0.19133333333333336,0.0005773502691896243,,,,,,,,,,,,,,,,,,,,,N/A,2,False,False,None,N/A,0.5
"Sweep 1: SGC (baseline) K=2, Topo=early",Base,0.512,0.0010000000000000009,0.464,0.0,0.4843333333333333,0.0005773502691896304,0.49700000000000005,0.0010000000000000009,0.218,0.0010000000000000009,0.17866666666666667,0.0005773502691896243,0.21266666666666667,0.0005773502691896243,0.19333333333333336,0.0005773502691896243,,,,,,,,,,,,,,,,,,,,,N/A,2,False,False,early,N/A,0.5
"Sweep 1: SGC (baseline) K=2, Topo=late",Base,0.5053333333333333,0.0005773502691896262,0.4643333333333333,0.0005773502691896304,0.48100000000000004,0.0010000000000000009,0.5283333333333333,0.0015275252316519147,0.20633333333333334,0.0015275252316519518,0.169,0.0010000000000000009,0.20200000000000004,0.0010000000000000009,0.18366666666666664,0.0015275252316519473,,,,,,,,,,,,,,,,,,,,,N/A,2,False,False,late,N/A,0.5
"Sweep 1: SGC (baseline) K=3, Topo=None",Base,0.51,0.0020000000000000018,0.484,0.006244997998398403,0.4749999999999999,0.0017320508075688787,0.5,0.0043588989435406405,0.21166666666666667,0.001527525231651945,0.17066666666666666,0.0032145502536643053,0.20366666666666666,0.004041451884327372,0.17933333333333334,0.0020816659994661304,,,,,,,,,,,,,,,,,,,,,N/A,3,False,False,None,N/A,0.5
"Sweep 1: SGC (baseline) K=3, Topo=early",Base,0.5056666666666666,0.0028867513459481316,0.4836666666666667,0.0011547005383792486,0.4716666666666667,0.002081665999466129,0.49899999999999994,0.0010000000000000009,0.219,0.0020000000000000018,0.171,0.001999999999999995,0.21266666666666667,0.001527525231651945,0.18166666666666664,0.0011547005383792546,,,,,,,,,,,,,,,,,,,,,N/A,3,False,False,early,N/A,0.5
"Sweep 1: SGC (baseline) K=3, Topo=late",Base,0.49033333333333334,0.0005773502691896304,0.4676666666666667,0.00378593889720016,0.463,0.002645751311064593,0.515,0.002645751311064593,0.19899999999999998,0.0017320508075688787,0.153,0.0020000000000000018,0.19566666666666666,0.0005773502691896243,0.168,0.0010000000000000009,,,,,,,,,,,,,,,,,,,,,N/A,3,False,False,late,N/A,0.5
"WF Champion: Grid: K=2, Dir=F, Topo=None",PCA,,,,,,,,,,,,,,,,,0.682,,0.684,,0.466,,0.489,,0.78,,0.794,,0.0,,0.023,,0.255,,0.078,,Prop-N,2,True,False,None,N/A,τ-1 calibrated
"WF Champion: Grid: K=2, Dir=F, Topo=early",Base,,,,,,,,,,,,,,,,,0.662,,0.698,,0.489,,0.507,,0.813,,0.795,,0.0,,0.037,,0.247,,0.087,,Prop-N,2,True,False,early,N/A,τ-1 calibrated
"WF Champion: Grid: K=2, Dir=T, Topo=None",Base,,,,,,,,,,,,,,,,,0.664,,0.697,,0.442,,0.511,,0.766,,0.804,,0.0,,0.033,,0.175,,0.096,,Prop-N,2,True,True,None,N/A,τ-1 calibrated
"WF Champion: Grid: K=2, Dir=T, Topo=late",Base,,,,,,,,,,,,,,,,,0.702,,0.732,,0.437,,0.495,,0.78,,0.827,,0.0,,0.048,,0.192,,0.115,,Prop-N,2,True,True,late,N/A,τ-1 calibrated
"WF Champion: Grid: K=3, Dir=F, Topo=None",PCA,,,,,,,,,,,,,,,,,0.684,,0.707,,0.46,,0.507,,0.781,,0.827,,0.0,,0.025,,0.265,,0.081,,Prop-N,3,True,False,None,N/A,τ-1 calibrated
"WF Champion: Grid: K=3, Dir=F, Topo=late",Base,,,,,,,,,,,,,,,,,0.649,,0.673,,0.472,,0.477,,0.783,,0.766,,0.0,,0.032,,0.262,,0.102,,Prop-N,3,True,False,late,N/A,τ-1 calibrated
"WF Champion: Grid: K=3, Dir=T, Topo=None",Base,,,,,,,,,,,,,,,,,0.572,,0.696,,0.399,,0.467,,0.727,,0.815,,0.044,,0.035,,0.09,,0.068,,Prop-N,3,True,True,None,N/A,τ-1 calibrated
"WF Champion: Grid: K=3, Dir=T, Topo=None",PCA,,,,,,,,,,,,,,,,,0.626,,0.583,,0.432,,0.452,,0.721,,0.671,,0.0,,0.055,,0.235,,0.063,,Prop-N,3,True,True,None,N/A,τ-1 calibrated
"WF Champion: Grid: K=3, Dir=T, Topo=early",Base,,,,,,,,,,,,,,,,,0.668,,0.718,,0.446,,0.516,,0.755,,0.827,,0.0,,0.028,,0.221,,0.097,,Prop-N,3,True,True,early,N/A,τ-1 calibrated
"WF Champion: Grid: K=3, Dir=T, Topo=late",PCA,,,,,,,,,,,,,,,,,0.657,,0.7,,0.442,,0.52,,0.744,,0.809,,0.0,,0.033,,0.269,,0.076,,Prop-N,3,True,True,late,N/A,τ-1 calibrated
"WF Champion: NoMP Grid: K=2, Dir=F, Topo=None",Base,,,,,,,,,,,,,,,,,0.53,,0.624,,0.408,,0.447,,0.731,,0.772,,0.013,,0.017,,0.105,,0.077,,Prop-N,2,False,False,None,N/A,τ-1 calibrated
"WF Champion: NoMP Grid: K=2, Dir=F, Topo=early",PCA,,,,,,,,,,,,,,,,,0.4,,0.586,,0.413,,0.471,,0.674,,0.742,,0.0,,0.015,,0.114,,0.064,,Prop-N,2,False,False,early,N/A,τ-1 calibrated
"WF Champion: NoMP Grid: K=3, Dir=F, Topo=None",Base,,,,,,,,,,,,,,,,,0.571,,0.637,,0.403,,0.446,,0.669,,0.751,,0.0,,0.022,,0.243,,0.077,,Prop-N,3,False,False,None,N/A,τ-1 calibrated
"WF Champion: NoMP Grid: K=3, Dir=F, Topo=None",PCA,,,,,,,,,,,,,,,,,0.524,,0.591,,0.387,,0.416,,0.608,,0.693,,0.0,,0.022,,0.32,,0.097,,Prop-N,3,False,False,None,N/A,τ-1 calibrated
"WF Champion: NoMP Grid: K=3, Dir=F, Topo=early",Base,,,,,,,,,,,,,,,,,0.612,,0.622,,0.403,,0.414,,0.688,,0.731,,0.0,,0.024,,0.351,,0.067,,Prop-N,3,False,False,early,N/A,τ-1 calibrated
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=None",Base,,,,,,,,,,,,,,,,,0.338,,0.307,,0.309,,0.291,,0.535,,0.463,,0.016,,0.015,,0.095,,0.046,,Prop-N,2,False,False,None,N/A,τ-1 calibrated
"WF Champion: Sweep 1: SGC (baseline) K=2, Topo=early",Base,,,,,,,,,,,,,,,,,0.329,,0.304,,0.304,,0.308,,0.516,,0.448,,0.01,,0.016,,0.1,,0.048,,Prop-N,2,False,False,early,N/A,τ-1 calibrated
"WF Champion: Sweep 1: SGC (baseline) K=3, Topo=early",Base,,,,,,,,,,,,,,,,,0.299,,0.288,,0.266,,0.272,,0.485,,0.416,,0.01,,0.016,,0.082,,0.045,,Prop-N,3,False,False,early,N/A,τ-1 calibrated
