sgc_k,mlp_hidden,Seconds_mean,Seconds_std,Val_Pooled_F1_mean,Val_Pooled_F1_std,Val_Pooled_PRAUC_mean,Val_Pooled_PRAUC_std,Val_Macro_F1_mean,Val_Macro_F1_std,Val_Macro_PRAUC_mean,Val_Macro_PRAUC_std,OOT_Pooled_F1_mean,OOT_Pooled_F1_std,OOT_Pooled_PRAUC_mean,OOT_Pooled_PRAUC_std,OOT_Macro_F1_mean,OOT_Macro_F1_std,OOT_Macro_PRAUC_mean,OOT_Macro_PRAUC_std,n_seeds
3,"(64, 64)",38.01766666666666,1.428490928684295,0.8641909999999999,0.014389702290179602,0.934552,0.01153782297489433,0.811702,0.002973831367108784,0.880434,0.011821876035553718,0.482712,0.029180364082718346,0.4674496666666666,0.049436170658065055,0.262251,0.012272688254820151,0.304869,0.034290155263573825,3
2,"(128, 128)",55.21099999999999,1.2762021783400934,0.864033,0.010805574533545206,0.9397019999999999,0.013289495851987765,0.810563,0.025280975693196643,0.8693759999999999,0.026939589102285867,0.4004466666666667,0.0544636836463834,0.38588233333333327,0.036226402751768395,0.218391,0.04144108647224393,0.251125,0.02736916661135302,3
3,"(128, 64)",48.58266666666666,1.3982061126076255,0.869615,0.01748072878915518,0.9350473333333333,0.02001096560222254,0.8191203333333332,0.041926854512750335,0.8683486666666665,0.04377264152793765,0.419757,0.027583697377255276,0.40737500000000004,0.05773614161857371,0.22438733333333336,0.022238775423420547,0.267586,0.04440436263476823,3
2,"(64, 64)",32.09866666666667,0.7911664384523243,0.8634853333333333,0.011828902625913119,0.9283756666666667,0.015876415506446452,0.8219776666666667,0.007869252336361631,0.8681323333333334,0.018726766521034385,0.40656866666666663,0.042721861398274025,0.315809,0.08723637903420799,0.22678733333333334,0.028438882227213757,0.230791,0.05046635278083806,3
2,"(256, 128)",77.95266666666667,1.865185334848341,0.8684419999999999,0.01600645535401261,0.9430376666666667,0.0073317461312659505,0.8114966666666666,0.02201791609878952,0.8670300000000001,0.006691206841818605,0.42908433333333335,0.04151062953429318,0.38930333333333333,0.023368472400508628,0.232969,0.03864259064814367,0.253307,0.02351315027808904,3
3,"(256, 128)",83.89666666666666,2.164991070035467,0.8667846666666666,0.01232479145192055,0.9317679999999999,0.011703487856190494,0.8064240000000001,0.02561991489056902,0.8665379999999999,0.03216751452941301,0.43193666666666664,0.06424533393432813,0.4281246666666667,0.060978764929550115,0.23580933333333332,0.04595010951383393,0.277878,0.04336460478316391,3
2,"(128, 64)",43.725,0.8734225781372961,0.8617503333333333,0.002796035824758574,0.9335823333333334,0.007652390236608031,0.8044253333333332,0.008546634971340127,0.8596766666666666,0.02371206748331603,0.35007800000000006,0.011349800306613346,0.33101733333333333,0.04718813585355258,0.18836366666666668,0.005032237706362183,0.22430766666666666,0.025693835726363117,3
3,"(128, 128)",59.44133333333334,0.8429901146118695,0.8636566666666666,0.013830433338595485,0.929471,0.012058551198216153,0.808984,0.01601715193160128,0.8462233333333332,0.02024505100841525,0.461972,0.032084081395608005,0.46966033333333335,0.03304588468074855,0.24811433333333333,0.031210546363902927,0.297671,0.02218860615270816,3
1,"(128, 64)",39.99866666666667,0.9901804549340151,0.8695403333333332,0.005540198311733355,0.909411,0.03819300814285256,0.8084816666666667,0.01781069735673855,0.8394233333333334,0.007391995828822776,0.356925,0.04816664201498794,0.273327,0.027815917457455895,0.19606500000000002,0.028088237591561354,0.20377900000000002,0.016310369125191498,3
1,"(64, 64)",28.666,0.7657473473672629,0.864456,0.005159456948168119,0.9018793333333334,0.043315781538988,0.8027826666666668,0.012136462966339641,0.836389,0.02011129834197681,0.343983,0.0036992497888084946,0.263768,0.032533268572339916,0.18844033333333332,0.008442871628381735,0.19486166666666668,0.018881499154816423,3
1,"(128, 128)",51.104000000000006,1.3392270158565374,0.8544533333333334,0.00966375818888968,0.902405,0.028740941860001736,0.7748463333333334,0.021652698338390397,0.8323200000000001,0.01132735657600662,0.34154533333333337,0.07506168479546228,0.3152063333333333,0.04487926731056706,0.18150999999999998,0.04801932836889747,0.22328633333333334,0.021180015446956912,3
1,"(256, 128)",73.69366666666667,1.5975901643830117,0.8439196666666667,0.0157208010080063,0.9033416666666666,0.01851455055715189,0.7761663333333333,0.005656180896447105,0.8200569999999999,0.010201435536237079,0.30571766666666667,0.012440000817256125,0.27527233333333334,0.02485255882868669,0.17070566666666664,0.013586213208003677,0.20945233333333335,0.01531144465206772,3
