Sweep_ID,Run_Index,Total_Runs,Seed,Variation,sgc_k,use_directional_prop,topo_injection_mode,use_graph_structural,use_multiscale_prop,use_pca,pca_variance,use_layernorm,activation,use_residual,mlp_hidden,mlp_dropout,Seconds,sgc_input_dim,Val_Pooled_F1,Val_Pooled_PRAUC,Val_Macro_F1,Val_Macro_PRAUC,OOT_Pooled_F1,OOT_Pooled_PRAUC,OOT_Macro_F1,OOT_Macro_PRAUC
sweep_phaseA,26,36,44,PCA,1,True,late,True,True,True,0.98,True,silu,False,"(128, 64)",0.3,39.182,185,0.867647,0.932772,0.796238,0.84795,0.302179,0.242347,0.164419,0.185174
sweep_phaseA,27,36,44,PCA,1,True,late,True,True,True,0.98,True,silu,False,"(128, 128)",0.3,50.552,185,0.844137,0.918668,0.767315,0.820694,0.311663,0.299229,0.164262,0.214424
sweep_phaseA,28,36,44,PCA,1,True,late,True,True,True,0.98,True,silu,False,"(256, 128)",0.3,73.458,185,0.825794,0.88504,0.782278,0.80882,0.318644,0.296028,0.184483,0.214489
sweep_phaseA,29,36,44,PCA,2,True,late,True,True,True,0.98,True,silu,False,"(64, 64)",0.3,31.223,236,0.871334,0.920019,0.823008,0.853233,0.37009,0.265076,0.199587,0.200145
sweep_phaseA,30,36,44,PCA,2,True,late,True,True,True,0.98,True,silu,False,"(128, 64)",0.3,42.942,236,0.85923,0.92496,0.794588,0.832765,0.362312,0.283396,0.190968,0.19869
sweep_phaseA,31,36,44,PCA,2,True,late,True,True,True,0.98,True,silu,False,"(128, 128)",0.3,54.227,236,0.865184,0.946772,0.822489,0.87594,0.460481,0.425243,0.265999,0.28271
sweep_phaseA,32,36,44,PCA,2,True,late,True,True,True,0.98,True,silu,False,"(256, 128)",0.3,77.399,236,0.857414,0.938895,0.812086,0.869662,0.471032,0.415618,0.266427,0.280031
sweep_phaseA,33,36,44,PCA,3,True,late,True,True,True,0.98,True,silu,False,"(64, 64)",0.3,36.478,263,0.856729,0.922135,0.810053,0.881107,0.485116,0.471327,0.259159,0.314643
sweep_phaseA,34,36,44,PCA,3,True,late,True,True,True,0.98,True,silu,False,"(128, 64)",0.3,47.878,263,0.888462,0.95192,0.850787,0.896654,0.437436,0.446098,0.228267,0.287271
sweep_phaseA,35,36,44,PCA,3,True,late,True,True,True,0.98,True,silu,False,"(128, 128)",0.3,58.83,263,0.875734,0.94337,0.804678,0.867477,0.446882,0.481962,0.22374,0.29213
sweep_phaseA,36,36,44,PCA,3,True,late,True,True,True,0.98,True,silu,False,"(256, 128)",0.3,82.482,263,0.853868,0.918316,0.788826,0.836573,0.361483,0.372325,0.186751,0.240894
