Case,Benchmark_Sweep,Seed,Variation,K,Directional,Topo,Head,Seconds,Val_Pooled_F1,Val_Pooled_PRAUC,Val_Macro_F1,Val_Macro_PRAUC,OOT_Pooled_F1,OOT_Pooled_PRAUC,OOT_Macro_F1,OOT_Macro_PRAUC
val_macro_champion,"Grid: K=1, Dir=F, Topo=late (Seed 44, Var Base)",44,Base,1,False,late,previous_mlp_head,9.227,0.885,0.943,0.832,0.892,0.467,0.337,0.269,0.255
val_macro_champion,"Grid: K=1, Dir=F, Topo=late (Seed 44, Var Base)",44,Base,1,False,late,ln_silu_small_no_residual,50.432,0.854639,0.943137,0.798256,0.868067,0.198582,0.242329,0.124457,0.214011
val_pooled_champion,"Grid: K=2, Dir=T, Topo=late (Seed 44, Var PCA)",44,PCA,2,True,late,previous_mlp_head,10.5,0.871,0.949,0.804,0.867,0.394,0.35,0.206,0.265
val_pooled_champion,"Grid: K=2, Dir=T, Topo=late (Seed 44, Var PCA)",44,PCA,2,True,late,ln_silu_small_no_residual,54.045,0.865184,0.946772,0.822489,0.87594,0.460481,0.425243,0.265999,0.28271
