Sweep_ID,Run_Index,Total_Runs,Seed,Variation,sgc_k,use_directional_prop,topology,topo_injection_mode,use_graph_structural,use_multiscale_prop,use_pca,pca_variance,use_layernorm,activation,use_residual,mlp_hidden,mlp_dropout,Seconds,sgc_input_dim,Val_Pooled_F1,Val_Pooled_PRAUC,Val_Macro_F1,Val_Macro_PRAUC,OOT_Pooled_F1,OOT_Pooled_PRAUC,OOT_Macro_F1,OOT_Macro_PRAUC
sweep_phaseB,26,36,44,PCA,3,True,early,early,True,True,True,0.98,True,silu,False,"(64, 64)",0.3,37.869,268,0.851326,0.915842,0.803385,0.851687,0.378897,0.345407,0.214075,0.230829
sweep_phaseB,27,36,44,PCA,3,True,none,late,False,True,True,0.98,True,silu,False,"(64, 64)",0.3,35.107,262,0.84195,0.918252,0.786411,0.855755,0.440793,0.442151,0.234549,0.283856
sweep_phaseB,28,36,44,PCA,3,False,late,late,True,True,True,0.98,True,silu,False,"(64, 64)",0.3,27.58,146,0.843212,0.918942,0.785604,0.847535,0.443006,0.447634,0.262796,0.346978
sweep_phaseB,29,36,44,PCA,3,False,early,early,True,True,True,0.98,True,silu,False,"(64, 64)",0.3,27.256,148,0.84482,0.915827,0.804006,0.859987,0.418911,0.377174,0.242475,0.293109
sweep_phaseB,30,36,44,PCA,3,False,none,late,False,True,True,0.98,True,silu,False,"(64, 64)",0.3,26.012,144,0.846982,0.921172,0.814306,0.870936,0.452525,0.36098,0.251518,0.264586
sweep_phaseB,31,36,44,Base,3,True,late,late,True,True,False,0.99,True,silu,False,"(64, 64)",0.3,37.969,1652,0.842975,0.921898,0.743608,0.805428,0.276498,0.246659,0.132188,0.18573
sweep_phaseB,32,36,44,Base,3,True,early,early,True,True,False,0.99,True,silu,False,"(64, 64)",0.3,37.523,1670,0.849,0.915495,0.780089,0.829445,0.343423,0.299846,0.172306,0.202907
sweep_phaseB,33,36,44,Base,3,True,none,late,False,True,False,0.99,True,silu,False,"(64, 64)",0.3,35.526,1650,0.854776,0.915827,0.766716,0.82451,0.334498,0.282359,0.174943,0.197801
sweep_phaseB,34,36,44,Base,3,False,late,late,True,True,False,0.99,True,silu,False,"(64, 64)",0.3,28.138,662,0.862086,0.93874,0.798465,0.858917,0.353756,0.324812,0.19262,0.238254
sweep_phaseB,35,36,44,Base,3,False,early,early,True,True,False,0.99,True,silu,False,"(64, 64)",0.3,28.013,668,0.857678,0.925836,0.779726,0.832523,0.270992,0.209735,0.154851,0.180849
sweep_phaseB,36,36,44,Base,3,False,none,late,False,True,False,0.99,True,silu,False,"(64, 64)",0.3,27.521,660,0.854906,0.935272,0.775507,0.844269,0.181001,0.212705,0.103014,0.192822
